( [自分 759]
  [の 520]
  [よう 230]
  [事 230]
  [それ 219]
  [もの 161]
  [人 109]
  [何 101]
  [たち 100]
  [ん 99]
  [堀木 96]
  [一 93]
  [人間 84]
  [女 83]
  [顔 79]
  [ひと 77]
  [これ 76]
  [二 66]
  [時 63]
  [家 63]
  [ヒラメ 55]
  [者 54]
  [父 51]
  [気 49]
  [さ 48]
  [酒 47]
  [ほう 46]
  [み たい 44]
  [気持 43]
  [罪 42]
  [道化 42]
  [十 42]
  [私 41]
  [中 40]
  [そう 40]
  [ところ 38]
  [三 38]
  [謂 37]
  [所 37]
  [男 37]
  [一つ 37]
  [ いま 36]
  [言葉 36]
  [ため 35]
  [学校 35]
  [頃 34]
  [部屋 33]
  [恐怖 32]
  [ヨシ子 32]
  [お前 32]
  [れい 32]
  [お金 31]
  [あなた 31]
  [心 29]
  [世間 28]
  [絵 28]
  [眼 28]
  [ちゃん 27]
  [ひとり 27]
  [日 27]
  [ツネ子 25]
  [子供 24]
  [夜 24]
  [彼 24]
  [シヅ子 23]
  [どこ 23]
  [漫画 22]
  [いちど 22]
  [竹 21]
  [思い 21]
  [階 21]
  [写真 21]
  [口 20]
  [東京 20]
  [葉 20]
  [わけ 20]
  [本 20]
  [不安 19]
  [娘 19]
  [アント 19]
  [ 奥さん 19]
  [年 18]
  [そこ 18]
  [神 18]
  [故郷 18]
  [へん 17]
  [店 17]
  [箱 17]
  [声 17]
  [金 17]
  [世の中 17]
  [シゲ子 17]
  [つもり 16]
  [ ここ 16]
  [不幸 15]
  [四 15]
  [マダム 15]
  [おれ 15]
  [生活 15]
  [煙草 15]
  [うち 15]
  [皆 15]
  [アパート 15]
  [違い 15]
  [こと 14]
  [以上 14]
  [用事 14]
  [全部 14]
  [遊び 14]
  [相手 14]
  [仕事 14]
  [地獄 14]
  [微笑 14]
  [五 14]
  [さん 14]
  [感 14]
  [誰 14]
  [婦 14]
  [形 14]
  [め 13]
  [名詞 13]
  [一緒 13]
  [画 13]
  [いや 13]
  [近く 13]
  [方 13]
  [的 13]
  [僕 13]
  [さまざま 13]
  [ヨシ 13]
  [キス 13]
  [朝 12]
  [幸福 12]
  [バア 12]
  [馬鹿 12]
  [子 12]
  [身 12]
  [いつ 12]
  [間 12]
  [運動 12]
  [前 12]
  [淫売 12]
  [信頼 11]
  [薬 11]
  [外 11]
  [からだ 11]
  [話 11]
  [あれ 11]
  [注射 11]
  [他 11]
  [竹一 11]
  [同志 11]
  [海 11]
  [完全 11]
  [京橋 11]
  [表情 11]
  [高等 11]
  [度 11]
  [記憶 11]
  [検事 11]
  [傷 11]
  [花 11]
  [お化け 11]
  [町 11]
  [様子 10]
  [時間 10]
  [目 10]
  [アネサ 10]
  [個人 10]
  [奇妙 10]
  [上 10]
  [一言 10]
  [耳 10]
  [幽か 10]
  [家族 10]
  [胸 10]
  [涙 10]
  [室 10]
  [雑誌 10]
  [先生 10]
  [焼酎 10]
  [冗談 10]
  [まま 10]
  [社 10]
  [生涯 9]
  [末 9]
  [手紙 9]
  [感じ 9]
  [屋 9]
  [六 9]
  [枚 9]
  [相談 9]
  [なん 9]
  [友人 9]
  [自然 9]
  [場合 9]
  [手記 9]
  [水 9]
  [下宿 9]
  [ごはん 9]
  [筈 9]
  [い 9]
  [不思議 9]
  [狂人 9]
  [薬屋 9]
  [銀座 9]
  [予言 9]
  [カフエ 8]
  [後 8]
  [妻 8]
  [時代 8]
  [色 8]
  [君 8]
  [二つ 8]
  [ごと 8]
  [本当 8]
  [場 8]
  [トラ 8]
  [さい 8]
  [ひそか 8]
  [夫 8]
  [病院 8]
  [額 8]
  [下 8]
  [いくら 8]
  [心配 8]
  [きょう 8]
  [クラス 8]
  [下男 8]
  [口調 8]
  [女性 8]
  [苦 笑 8]
  [風 8]
  [秘密 8]
  [すべて 8]
  [学生 8]
  [首 8]
  [鮨 8]
  [下手 8]
  [あと 8]
  [底 7]
  [めし 7]
  [必要 7]
  [っきり 7]
  [能力 7]
  [例 7]
  [拒否 7]
  [田舎 7]
  [姉 7]
  [中学校 7]
  [別荘 7]
  [勉強 7]
  [電車 7]
  [名前 7]
  [彼等 7]
  [演説 7]
  [妙 7]
  [女給 7]
  [空腹 7]
  [高円寺 7]
  [ 切れめ 7]
